Road_Name,Road_Type,County_Name
Elijah Mutonga Road,residential,Nakuru
Southern Bypass,trunk,Nairobi
Elijah Mutonga Road,residential,Nakuru
Simba Road,residential,Laikipia
Simba Road,residential,Laikipia
Kimathi Road,tertiary,Nyeri
Simba Road,residential,Laikipia
Mama Ngina Road,residential,Nakuru
Flame Tree Av,unclassified,Kilifi
National Oil Road,residential,Elgeyo-Marakwet
Flame Tree Av,unclassified,Kilifi
Flame Tree Av,unclassified,Kilifi
Flame Tree Av,unclassified,Kilifi
Naivasha Road,secondary,Nairobi
Thika-Mang'u Flyover Road,secondary,Kiambu
Mbusyani Road,tertiary,Kitui
Hometown Road,tertiary,Migori
Mara Serena Road,tertiary,Narok
1 st highway,tertiary,Migori
Ngamba-Kiu Road,tertiary,Makueni
Mavivye Road,tertiary,Makueni
Archbishop Makarios Road,tertiary,Mombasa
Archbishop Makarios Road,tertiary,Mombasa
Rapasi Close,residential,Kajiado
Odendo 1,unclassified,Siaya
Ambrose Adeya Main Road,unclassified,Siaya
Ambrose Adeya Road 2,unclassified,Siaya
Ambrose Adeya Road 2,residential,Siaya
Gachuba-Keboba-Keumbu Road,unclassified,Kisii
Gachuba-Keboba-Keumbu Road,unclassified,Nyamira
Magombo-Gachuba-Kegati Road,unclassified,Nyamira
Gachuba-Birongo Road,unclassified,Nyamira
Nyabar 4-Birongo Road,unclassified,Nyamira
Gucha Road,unclassified,Nyamira
Tombe Girls Road,unclassified,Nyamira
Kenani Road,unclassified,Nyamira
Mbuta Road,residential,Nairobi
Mbuta Road,residential,Nairobi
Tito Road,unclassified,Migori
Odendo 1,residential,Siaya
Odendo 1,residential,Siaya
Tombe-Nyaikuro Road,tertiary,Nyamira
Nyabara4-Moturumesi Road,unclassified,Nyamira
Nyagancha-Bonyunyu Road,unclassified,Nyamira
Gachuba-Miriri Road,unclassified,Nyamira
Sengereri Road,unclassified,Nyamira
Ruret Road,unclassified,Nakuru
National Oil Road,residential,Elgeyo-Marakwet
David Kayanda Road,residential,Mombasa
Moyne Dr Road,residential,Mombasa
Moyne Dr Road,service,Mombasa
Moyne Dr Road,service,Mombasa
Maungano Road,residential,Mombasa
Mji Mpya Road,residential,Mombasa
Steve Biko Avenue,residential,Mombasa
Zambezi Avenue,residential,Mombasa
Manyimbo Road,residential,Mombasa
Makutubu Road,residential,Mombasa
Mayalo Road,tertiary,Wajir
